text,homophobia,obscene,insult,racism,misogyny,xenophobia
"@user @user Folha de São Paulo pra mim não serve nem pra pendurar no banheiro de posto de gasolina,  pegar na mão então nem se fala. Acho que ler fotonovela, se é que ainda existe é mais proveitoso",0.0,0.0,1.0,0.0,0.0,0.0
"@user @user Vc deve ser louca, defendi o INPE na nossa conversa, ou vc é cega, disléxica, achei péssimo a exoneração feita hoje, tenho ciência do bom trabalho q o INPE faz, enfim, não vou perder meu tempo com vc, abraça o DataFolha aí, espere a virada do Haddad ou Ciro no segundo turno kkkkk",0.0,1.0,3.0,0.0,1.0,0.0
"@user nao deixa sua cabeça te fazer de maluca, seu corpo é lindo, assim como todos são dos seus jeitinhos, vai a praia sim eu hein vou dar na sua cara",0.0,1.0,1.0,0.0,0.0,0.0
@user os hormonios pulando...,0.0,1.0,0.0,0.0,0.0,0.0
"hoje é caso dormir cedo
tipo um preso",0.0,0.0,1.0,0.0,0.0,0.0
e nessa loucuraaaaaa de dizer que não te querooooooooo,0.0,0.0,0.0,0.0,0.0,0.0
"@user @user Eu como morador da terra do meio no Pará e conselheiro de 2 UCs, posso falar com segurança que os dados do Inpe, realmente estavam sendo manipulados por ativista travestidos de cientistas pra prejudicar a imagem do governo Bolsonaro! Ontem o ministro Salles provou isso!",1.0,0.0,2.0,0.0,0.0,0.0
bixetes vem logo por favor,0.0,1.0,0.0,0.0,0.0,0.0
"Por outro lado, entre os gestores há um consenso que joga contra o investimento de mais longo prazo. 
Quando provocados, eles são categóricos: se há uma posição que eles não carregariam por 10 anos de olhos fechados é Itaú, ou qualquer outro banco grande.",0.0,0.0,1.0,0.0,0.0,0.0
rt @user hora de colocar os fatos na mesa https://t.co/8174j0wtry,0.0,0.0,0.0,0.0,0.0,0.0
o gambenja. como os gambás contrataram o ruimgil sem ter dinheiro pra pagar as marmita s#fsradiobrasil,0.0,1.0,2.0,0.0,0.0,0.0
1h30 para sair de casa e estou deitada no sofá como se nada fosse,0.0,0.0,0.0,0.0,0.0,0.0
"mano, eu to super de boa, ai penso em certas coisas e já fecho a cara e ninguém entende nd",0.0,0.0,0.0,0.0,0.0,0.0
"rt @user eu tenho de parar de estar de costas na praia, porque eu fico sempre morena nas costas e à frente pareço um pacote de l…",0.0,0.0,0.0,0.0,0.0,0.0
respeitem só faxavor!,0.0,0.0,0.0,0.0,0.0,0.0
"@user @user Contra fatos não há argumentos, Jair.

É assim que você está ficando conhecido na Europa. 

 https://t.co/4jyJCgbe6k",0.0,0.0,0.0,0.0,0.0,0.0
@user @user ahhhhhhhh obg kskskskskskks eu disse q sou horrível com cantadas,0.0,0.0,0.0,0.0,0.0,0.0
"viva a vida enquanto vc esta vivo, pq dps que vc morrer, n vivera mais",0.0,0.0,0.0,0.0,0.0,0.0
"@user @user @user Vc só pensa no Coaf. Acorda alice! Acha mesmo que a PF está engessada somente numa linha de investigação? Achei que como jornalista, era mais esperta.",0.0,0.0,2.0,0.0,1.0,0.0
homens feios porem bonitos??¿,0.0,0.0,0.0,0.0,0.0,0.0
"@user @user Não fale pelo povo nordestino. Sou maranhense, moro no Maranhão e não me importei nem um pouco. Sai da bolha, otário. Eu queria mesmo era dar um abraço e agradecer ao meu Presidente pelo que tem feito. Ah! E detesto maconha!",0.0,0.0,3.0,0.0,0.0,1.0
passando calor aqui na loja,0.0,0.0,0.0,0.0,0.0,0.0
"rt @user @user putz, e sex tape não dá pra gravar todo dia...",0.0,2.0,0.0,0.0,0.0,0.0
"@user Vc só esqueceu de mencionar, que a turma do bem, agrediu o ministro na presença de suas crianças.  Cabe BO,  segundo o estatuto do ECA.  É covardia, que chama?",0.0,0.0,1.0,0.0,0.0,0.0
@user tao linda parece eu,0.0,0.0,0.0,0.0,0.0,0.0
@user @user @user @user e o queiroz ninguém acha??!!🤔🤔,0.0,0.0,0.0,0.0,0.0,0.0
eu amo um homem,0.0,0.0,0.0,0.0,0.0,0.0
rt @user fazendo meu papel de bom amigo marcando keylla em 300 memes ❤️,0.0,0.0,0.0,0.0,0.0,0.0
"📺VÍDEO NOVO, TURMA!

FOTO DE BOA LACRADOR NÃO PERDOA

https://t.co/iGV4s2yKOS

✔Entenda por que a chorumesfera atacou com tanta truculência uma adolescente que apenas postou uma foto de uma viagem escolar!

(E compartilha pra tentar reverter o dano que causaram)",0.0,1.0,1.0,0.0,0.0,0.0
"fazendo amor
botando pra moer
so eu y voce",0.0,1.0,0.0,0.0,0.0,0.0
"O candidato dos ricos que fez a campanha mais pobre da história e o mais atacado por todos
-O político mais burro, pois anuncia seus principais ministros antes mesmo do fim do primeiro turno, não deixando margens para negociatas no segundo turno",0.0,0.0,2.0,0.0,0.0,0.0
"rt @user eu ri, mas eu quero kkk https://t.co/yvv0ojmqgr",0.0,0.0,0.0,0.0,0.0,0.0
1 mês certinho para 18 anos,0.0,0.0,0.0,0.0,0.0,0.0
"mais sonsa que a minha mãe só duas dela, ela fez eu postar foto dela no facebook e fez a kátia cega no comentário kkkkkkkkkkkkkkk q odio",0.0,0.0,2.0,0.0,1.0,0.0
@user incrivel como essa foto só fica melhor a cada vez que eu vejo,0.0,0.0,0.0,0.0,0.0,0.0
"@user Precisamos ficar atentos. Os métodos utilizados pela Lava Jato ñ foram nada ortodoxos. Houve claramente um pacto de mediocridade entre as instituições brasileiras. Realmente, é preciso estar atento e JAMAIS esmorecer. Muito obrigada pelo seu trabalho Demori 👊🏼",0.0,0.0,0.0,0.0,0.0,0.0
@user @user uma jóia de nióbio que n vale quase nada,0.0,0.0,0.0,0.0,0.0,0.0
"Desgoverno da destruição, esconde dados !. estamos sendo enganados e roubados de todos lados e agora a certeza que esses covardes vão manipular dados para apresentação da falsa realmente.. até o presente mostrar o contrário a destruição visível do país.!. #ForaBol卐onaro",0.0,0.0,2.0,1.0,0.0,0.0
nossa velho 2019 e vcs nessa ainda pqp,0.0,1.0,0.0,0.0,0.0,0.0
@user aí levizinho cidade perfeita e pretendo voltar logo maisssss,0.0,0.0,0.0,0.0,0.0,0.0
é foda,0.0,1.0,0.0,0.0,0.0,0.0
8 coisas que os homens fazem apenas com a mulher que amam https://t.co/mueiwvgo5e,0.0,0.0,0.0,0.0,0.0,0.0
esses vascainos são uma piada kkkkm,0.0,0.0,3.0,0.0,0.0,0.0
"Segue minha página de shitpost @user
Mas é de humor negro/shitpost então se tu não gosta sai

Eu divido essa página com a minha melhor amiga segue ela tbm @user :&gt;",0.0,2.0,2.0,3.0,0.0,0.0
@user quando começar os temporais eu vou viver na tua casa vlh,0.0,0.0,0.0,0.0,0.0,0.0
@user parabéns tá muito ruim https://t.co/iizs4vrspm,0.0,0.0,1.0,0.0,0.0,0.0
"Papo reto aqui
Se você usa ou pensa em usar isso aqui como argumento a favor do aborto, saiba que você é L-I-X-O, ideias comparáveis as de Hitler 

Pra você é melhor e mais fácil evitar que pessoas pobres (geralmente minorias raciais) nasçam do que diminuir índices de pobreza https://t.co/69516EvKPV",0.0,1.0,2.0,0.0,0.0,0.0
posso chamar então? — pode sim https://t.co/dje2jlja65,0.0,0.0,0.0,0.0,0.0,0.0
"De vez em quando a escola é um lugar bom, só o professor de matemática torceu o nariz, de resto fui bem recebida por todo mundo, todos fazendo questão de ajudar. Filho custa caro, gentes ❤️",0.0,0.0,0.0,0.0,0.0,0.0
"@user @user @user @user @user @user @user mas pra ela pode ser tudo, precisa mto",0.0,0.0,0.0,0.0,0.0,0.0
"mano, meu tio me ligou agr e quase tive um ataque kkkkkkkkkkk pensei que tinha feito merda",0.0,1.0,0.0,0.0,0.0,0.0
@user @user Parece que o cara mora no suvaco do @user e saiu rapidinho só pra manda a galera toma no cu e já vai voltar pra dentro de casa.,0.0,1.0,1.0,0.0,0.0,0.0
"rt @user muita cautela pra saber quem tá contigo, nem toda mão estendida é de coração",0.0,0.0,0.0,0.0,0.0,0.0
"se não sente falta das meninas não? — mn não sei, acho que foi melhor assim se for pra volta o tempo vai resolver. https://t.co/kpokwycpky",0.0,0.0,0.0,0.0,0.0,0.0
rt @user boa noite pra quem tem os dois melhores laterais do futebol brasileiro. https://t.co/a8bkcydgng,0.0,0.0,0.0,0.0,0.0,0.0
"@user É tá??? Porque não foi faz tempo cuidar dela? E ficou aí perdendo seu tempo em atacar pessoas do bem.?  Vc é seu macho não passam de terroristas. Sumam do Brasil, aqui não é  sua terra Sr. Gleen.",0.0,1.0,2.0,0.0,0.0,1.0
preciso de outra companhia pra ir pra academia pq o matheus é a mesma coisa que nada,0.0,0.0,1.0,0.0,0.0,0.0
rt @user @user olha quem fala,0.0,0.0,1.0,0.0,0.0,0.0
me paga um boquete? 😮 — not https://t.co/vqxtq5ezrv,0.0,3.0,1.0,0.0,0.0,0.0
as vezes as pessoa fala sobre amar o yoongi e eu fico kkkk thats cute,0.0,0.0,0.0,0.0,0.0,0.0
"@user pelo que havia entendido, a conta fazia a somatória dos dois (tv paga e tv aberta).",0.0,0.0,0.0,0.0,0.0,0.0
"@user foda o ser humano e sua síndrome de seguir as coisas só por seguir ao invés de fazer uma reflexão real sobre elas
mundão tá osso",0.0,1.0,0.0,0.0,0.0,0.0
"amigos de bh, alguém pelamorde deus me chama prum rolê hoje?!?!
tô querendo beber, dançar e curtir um bocado a noite hoje, minhajudem!",0.0,0.0,0.0,0.0,0.0,0.0
ate segui o meu mo babados do matriz p n perder nada,0.0,0.0,0.0,0.0,0.0,0.0
tô vendo que vou chorar igual uma criancinha #descendants3,0.0,0.0,0.0,0.0,0.0,0.0
puts só queria estar no barão agora,0.0,0.0,0.0,0.0,0.0,0.0
os cria vai piar aq em casa p ver vingadores 🤩,0.0,0.0,0.0,0.0,0.0,0.0
"@user salgado. se tirar o sal, fica você.",0.0,0.0,1.0,0.0,0.0,0.0
"rt @user bem.... ainda faltam 2 anos pra acabar, há esperança https://t.co/ka3lee9gz6",0.0,0.0,0.0,0.0,0.0,0.0
eu tenho a sensação as vezes de que eu vim nessa vida só pra me fuder,0.0,1.0,0.0,0.0,0.0,0.0
aliás 15h e ainda sem almoçar,0.0,0.0,0.0,0.0,0.0,0.0
@user e vamos resolver de certeza,0.0,0.0,0.0,0.0,0.0,0.0
"rt @user estudar pra ganhar na vida como a anitta
 https://t.co/z0g72isyiw",0.0,0.0,0.0,0.0,0.0,0.0
@user dourados kkkkk,0.0,0.0,0.0,0.0,0.0,0.0
@user pq a boca foi feita pra falar .#stfvergonhanacional,0.0,0.0,1.0,0.0,0.0,0.0
"Nomes dos suspeitos de invadir celular do ministro Sérgio Moro serão divulgados amanhã, ao meio-dia. Os quatro presos (3 homens e 1 mulher) em SP estão sendo levados para Brasília onde prestarão depoimento ainda hoje. Mais aqui: 
https://t.co/eRenJ0FSvi",0.0,0.0,0.0,0.0,0.0,0.0
"eu mando algo relacionado a turismo aqui em fortaleza pra lysandra e ela pergunta ""que que tem?""",0.0,0.0,0.0,0.0,0.0,0.0
rt @user @user saudade ladrão fica com deus pitbull de raça 💔😭,0.0,0.0,0.0,0.0,0.0,0.0
"viva sem medo, sem medo dos desafios, sem medo de enfrentar o que parece impossível 💬💬💬",0.0,0.0,0.0,0.0,0.0,0.0
"eu sou muito idiota mano kkkkkkk obrigada deus pelos sinais, agora eu aprendo",0.0,0.0,0.0,0.0,0.0,0.0
"bk, e isso ja aconteceu demais",0.0,0.0,0.0,0.0,0.0,0.0
"@user ouráiti!
mas mesmo assim queremos outro pgr! 💚💛🙌",0.0,0.0,0.0,0.0,0.0,0.0
"tem tanta opção de role hoje, n sei pra onde vou, no final vou acabar não indo pra nenhum",0.0,0.0,0.0,0.0,0.0,0.0
me preparando psicologicamente para a msg de arthur dizendo q morgou do role,0.0,0.0,1.0,0.0,0.0,0.0
gente pq vocês estão colocando esses quadradinhos nos nomes de vocês? não dá pra ler nada poxa,0.0,0.0,0.0,0.0,0.0,0.0
"—[👼] Em 2014, Melanie lançou seu primeiro clipe ""Dollhouse"". O video foi gravado com a arrecadação de fundos com a ajuda de fãs que já a acompanhavam. No mesmo ano, ela anunciou que havia assinado com a ""Atlantic Records"", e logo lançou seu primeiro EP. https://t.co/O2RRox1EUh",0.0,0.0,0.0,0.0,0.0,0.0
"🔺NOTÍCIA NA TV PORTUGUESA!🔻

Acabou de passar na TVI24 (canal português) que há um manifesto no congresso para impedir a visita do presidente Jair Bolsonaro no próximo ano, sob pretexto de que ele NÃO É BEM VINDO!

Tentei gravar, mas ficou pela metade 😕",0.0,0.0,0.0,0.0,0.0,0.0
@user @user @user alguém tá mentindo.,0.0,0.0,0.0,0.0,0.0,0.0
"@user @user @user @user @user @user @user @user @user @user @user @user Uma das Mulheres que mais Amei Conhecer 😍

Linda e Fascinante!

Estar ao seu lado, é um Momento Único e Inesquecível",0.0,0.0,0.0,0.0,0.0,0.0
@user @user @user tá pegando fogoooo,0.0,0.0,0.0,0.0,0.0,0.0
@user tens como provar isso com documentos?,0.0,0.0,0.0,0.0,0.0,0.0
"bom, vou sair de casa agora! ontem foi o dia do perdeu, perdi muita coisa uahuashaushausa o celular é uma delas, entón eu vou trampar, pq mais um mês se iniciou e este será o melhor mês do ano!",0.0,0.0,0.0,0.0,0.0,0.0
"ser amigo meu td bem, agr querer controlar quem devo ficar, oq devo fazer não, vtnc",0.0,1.0,1.0,0.0,0.0,0.0
"@user deixa eu fumar meu narguines, respeitar ok?",0.0,0.0,0.0,0.0,0.0,0.0
mano queria ter férias,0.0,0.0,0.0,0.0,0.0,0.0
@user operação lava jato faz operação para proteger operação lava jato,0.0,0.0,0.0,0.0,0.0,0.0
ainda indignada com o show do 3030 de graça em cg que não vou poder ir,0.0,0.0,0.0,0.0,0.0,0.0
"toda vez que persegue alguém, bolsonaro cria potenciais nomes de congressistas para a próxima legislatura.",0.0,0.0,0.0,0.0,0.0,0.0
"@user aqui em casa, amiga? kakak",0.0,0.0,0.0,0.0,0.0,0.0
aí eu to com muita saudades vai tomar no cu ;(((!,0.0,1.0,0.0,0.0,0.0,0.0
só quero chegar em angra logo,0.0,0.0,0.0,0.0,0.0,0.0
"Corinthians x Palmeiras em Brasileiros, desde 1971: 
51 jogos
17 vitórias do Corinthians
17 empates
17 vitórias do Palmeiras

- Últimos 9 jogos no geral (7 vitórias do Corinthians, 2 vitórias do Palmeiras)
- Fábio Carille contra o Palmeiras (8 jogos, 7 vitórias, 1 derrota)",0.0,0.0,0.0,0.0,0.0,0.0
"As coisas nunca dão certo pra mim, mesmo eu ficando calada e não contando pra ninguém, acho massa minha capacidade de ser um lixo e estragar as coisa🤦🏾‍♀️",0.0,0.0,0.0,0.0,0.0,0.0
"[2/8 15:28] Racquel: Zika KKKKKKK
[2/8 15:28] Racquel: E os trabalhos ? Fez algum ?
[2/8 15:29] Marcela ♡: Não tenho nem foto sei nem que que é pra fazer
[2/8 15:29] Racquel: Vamos começar o bimestre muito bem

KKKKKKKKKKKKKK vai dar ruim",0.0,0.0,0.0,0.0,0.0,0.0
"aceitem que noart é só amizade, nada além, único shipper que pode ser real e beauany, não tô proibido de shippa noart mas ficaram jogando hate pra ela por infantilidade, quem aguenta meu pai? https://t.co/oNxyDfCPsT",0.0,0.0,1.0,0.0,0.0,0.0
@user @user KKK tenho pena da sua alma quando chegar ao umbral e mais pena do seu espírito quando receber o próximo corpo na próxima encarnação. O pior está por vir infeliz. Teu calvário só está começando nesta prisão. Mas já nos faz muito feliz que vc esteja aí tolhido da liverdade.,0.0,0.0,2.0,0.0,0.0,0.0
rt @user transar podendo fazer barulho a vontade é outro nível,0.0,2.0,0.0,0.0,0.0,0.0
eu gosto de estudar desenho animado pq faz 14 anos que eu nao consigo olhar pra uma almondega sem pensar nisso https://t.co/rh3erosjyj,0.0,0.0,0.0,0.0,0.0,0.0
@user kkkkk pior que enjoa mesmo,0.0,0.0,0.0,0.0,0.0,0.0
"Essa série da BBC mostra o drama da crise climática que estamos vivendo. As ameaças estão por toda parte. As consequências são cada vez mais graves. O alerta da ciência precisa ser traduzido em ação. É urgente!  

https://t.co/MVRifmLd95",0.0,0.0,0.0,0.0,0.0,0.0
eu uso batom claro desde que me conheço por gente,0.0,0.0,0.0,0.0,0.0,0.0
@user nossa mano te odeio na moral kkkkkkkkkkkkkkkkkkk,0.0,0.0,2.0,0.0,0.0,0.0
"segunda eu começo a fazer terapia, nunca imaginei chegar a uma fase tão conturbada e difícil da minha vida a ponto de ter que passar por isso. que tristeza sem fim",0.0,0.0,0.0,0.0,0.0,0.0
@user cametá,0.0,0.0,0.0,0.0,0.0,0.0
"rt @user caralho esse cara eh foda demais

divulguem o trampo dele https://t.co/jj4gbjkgyw",0.0,1.0,0.0,0.0,0.0,0.0
"Se Neymar não vier e Coutinho ficar:

Griezmann Messi Dembélé
 Coutinho De Jong Arthur
Alba Lenglet Piqué Semedo
              ter Stegen

Lamentavelmente, no entanto, Busquets e Suárez não saem do time titular por nada.",0.0,0.0,0.0,0.0,0.0,0.0
kkkkkkkkkkkkkkkk sarneou,0.0,0.0,0.0,0.0,0.0,0.0
"@user claro q pode!
mas pq todas as opções são não?",0.0,0.0,0.0,0.0,0.0,0.0
@user exatamente isso,0.0,0.0,0.0,0.0,0.0,0.0
a mano sla dps desse video me deu vontade d gostar d algm será q eh pedir mto,0.0,0.0,0.0,0.0,0.0,0.0
@user @user parabéns mano 👍🏼,0.0,0.0,0.0,0.0,0.0,0.0
"@user olha só eu tava ardendo em febre ontem, MAS EU TÔ VIVINHA e vim te desejar parabénxxx! Muita muita saúde, luz, amor! Vou te adotar e te chamar de paozim de mel. Ah, tu é a cara do meu namorado viu. E ru me inspira a escrever e os caracteres tao acab",0.0,0.0,0.0,0.0,0.0,0.0
meu melhor amigo gente só meu ninguém rouba ele de mim,0.0,0.0,0.0,0.0,0.0,0.0
uma lista com os melhores laterais do brasil sem juninho capixaba é uma lista sem moral,0.0,0.0,0.0,0.0,0.0,0.0
"@user Como sua Exa. Sérgio Moro se pronunciou,o teor das conversas de agentes públicos são prioritários sobre o modo de obtenção. Por isso sua Exa. vazou gravações da Presidenta e da intimidade da família do ex presidente. Desse modo, Dallagnol cometeu prevaricação. E agora o povo sabe",0.0,0.0,0.0,0.0,0.0,0.0
"que orgulho, ela merece isso é muito mais paulinha na fab",0.0,0.0,0.0,0.0,0.0,0.0
eu tô triste,0.0,0.0,0.0,0.0,0.0,0.0
@user hahahahahaha invejinha,0.0,0.0,0.0,0.0,0.0,0.0
"@user deve ser do mesmo dono da água mineral ""uai"", que é distribuída no espírito santo! 🤷",0.0,0.0,0.0,0.0,0.0,0.0
"@user @user O cansaço do time e Gabriel machucado acabou sendo decisivos, quando ele ta 100% se movimenta muito, Bruno Henrique la de centro avante não é o melhor para ele. Minha opinião",0.0,0.0,0.0,0.0,0.0,0.0
"@user eu vejo o pessoal falando que dói a beça e eu achava que tinha uma idade certa pra aparecer, depois disso não dava mais kkkkkk",0.0,0.0,0.0,0.0,0.0,0.0
@user @user bundão você ... 🤣🤣,0.0,1.0,2.0,0.0,0.0,0.0
"@user se puder ouvir meu novo single, já que sempre apoias a cena autoral https://t.co/taohkwyw7h",0.0,0.0,0.0,0.0,0.0,0.0
a melhor campanha anti tabagismo é o calor acendi um cigarro agora q duas tragadas já joguei fora falei cigarro to fora isso ne vida nao,0.0,0.0,0.0,0.0,0.0,0.0
esse homem não pode ser real https://t.co/tyks6r4fq3,0.0,0.0,0.0,0.0,0.0,0.0
"craque da rodada domingo, classificação heróica na quarta e hoje esse presentão. que semana pro rafinha 👏🔴⚫💪",0.0,0.0,0.0,0.0,0.0,0.0
@user @user Mas ai no caso vc ta falando soh de repercussao ne? Pq tem uma pa de jogador q o Palmeiras ja contratou q eh mrlhor q o Borja,0.0,0.0,0.0,0.0,0.0,0.0
rt @user vejo a ana e a chai mais do que a minha família,0.0,0.0,0.0,0.0,0.0,0.0
"#sm_보이그룹론칭_취소해
se esse novo boy gruop for pra tirar a atenção do seus outros descasos, vamos parar por aí https://t.co/ipu3nrjb8b",0.0,0.0,0.0,0.0,0.0,0.0
rt @user gosto de irritar o menino q'eugosto pq ele bravo é fica ainda +gostoso https://t.co/2wwk8nywst,0.0,0.0,0.0,0.0,0.0,0.0
"já vejo antis falando q n vamos chegar na final, q o tombo vem... meu bem, aqui é flamengo, nada é impossível!!!!!",0.0,0.0,0.0,0.0,0.0,0.0
falsa https://t.co/0ybdbutlod,0.0,0.0,1.0,0.0,0.0,0.0
"tem umas diabas com a cintura mt fina mano ,que isso",0.0,0.0,2.0,0.0,0.0,0.0
pensando em tomar um banho aqui na academia pra ir pra casa e tomar outro banho quando chegar em casa,0.0,0.0,0.0,0.0,0.0,0.0
@user ah! e te mata também,0.0,0.0,2.0,0.0,0.0,0.0
"@user como diria walter abrahão......"" ta gorrrdo o milton neves hein""",0.0,0.0,1.0,0.0,0.0,0.0
@user só pq eu ia pagar o gelo hoje,0.0,0.0,0.0,0.0,0.0,0.0
@user imagina se eu vou ter problema com algo na faculdade que absurdo eu sou perfeita,0.0,0.0,0.0,0.0,0.0,0.0
o bahia tentando me assustar com a pomba foi o ponto alto do meu dia com certeza,0.0,0.0,0.0,0.0,0.0,0.0
"Há um mistério há anos, desde a criação do Ministério da Pesca na Esplanada. Por que Brasília tem quase 40 mil pescadores que recebem o seguro-defeso pago pelo Governo?",0.0,0.0,0.0,0.0,0.0,0.0
@user @user fala barro preto!!!!!!!!!!!,0.0,0.0,2.0,3.0,0.0,0.0
chris evans quer o mundo? ele é seu,0.0,0.0,0.0,0.0,0.0,0.0
"ministro da educação sobre paulo freire: ""se fosse tão bom, ia ter pelo menos mais um país usando o método dele"" https://t.co/xqrnrzjtnd",0.0,0.0,0.0,0.0,0.0,0.0
"@user @user Parabéns @user ... Isso é o tipo de ação que nos orgulha, tenho 2 filhas e sei o quanto essas pequenas ações mexem conosco.",0.0,0.0,0.0,0.0,0.0,0.0
vou pedir pro meu pai comprar ingresso pro jogo contra o bahia,0.0,0.0,0.0,0.0,0.0,0.0
@user @user @user Hahahahaha vc não entende porra nenhuma mesmo!!!! Por isso seu crédito é nulo! Outra porta de esquerda!!!!,0.0,2.0,3.0,0.0,0.0,0.0
@user você não conhecia o ministro da saúde mesmo. ele é um amontoado de polêmicas vazias que acertou nesse projeto dos médicos.,0.0,0.0,1.0,0.0,0.0,0.0
"chega em casa vou pra piscina, muito calor tmlc",0.0,0.0,0.0,0.0,0.0,0.0
que lindo vestidooo,0.0,0.0,0.0,0.0,0.0,0.0
rt @user aprendi a dizer para as pessoas certas. https://t.co/ofsfpjxdk6,0.0,0.0,0.0,0.0,0.0,0.0
feliz aniversário sérgio moro https://t.co/pdfg19hdha,0.0,0.0,0.0,0.0,0.0,0.0
@user querem ver um canalha ? olhem só a cara de um canalha que diz um troço desse: https://t.co/jz05s0hscy,0.0,0.0,3.0,0.0,0.0,0.0
@user desconfortavel e feio msm,0.0,0.0,1.0,0.0,0.0,0.0
irmao esse negócio do super grupo e blá blá blá só tá servindo pra exol falar mal do nct puta merda,0.0,1.0,1.0,0.0,0.0,0.0
"Curly Lambeau dá nome ao estádio da franquia Green Bay Packers! E no episódio histórico dessa semana, viemos contar um pouco sobre ele! Aperta o Play e vem com a gente!

https://t.co/Iq2ge0OdJV

Spotify:
https://t.co/5UpE1kmXrL

#Packers
#GoPackGo https://t.co/3EeRcuKvhU",0.0,0.0,0.0,0.0,0.0,0.0
"#mpn #tazercraft 

tribta e dois",0.0,0.0,0.0,0.0,0.0,0.0
"decidir qual série vou passar a noite assistindo hj, já que to terminando stranger things",0.0,0.0,0.0,0.0,0.0,0.0
"@user @user não sei, mas estou fazendo. tudo para tirar essa sensação.",0.0,0.0,0.0,0.0,0.0,0.0
"rt @user de tanto stories que eu vi, eu já conheço mais porto seguro do q o próprio pessoal que viajou pra la",0.0,0.0,0.0,0.0,0.0,0.0
"@user Vc é um gênio tenta a carreira da magistratura, condenado em 3 instâncias sem provas, e vc acha que não tem provas, vc é um gênio. srsrsrssr
#STFVergonhaNacional",0.0,0.0,1.0,0.0,0.0,0.0
eu tambem tiro foto com viados e simpatizo mas isso nao quer dizer nada se eu pudesse ainda metia uma surra,3.0,2.0,2.0,0.0,0.0,0.0
"achei uma foto minha e da renata pequena, ela era a cara do ricardo kkkkkkkkk",0.0,0.0,0.0,0.0,0.0,0.0
queria voltar nessa época,0.0,0.0,0.0,0.0,0.0,0.0
que rica verga,0.0,1.0,1.0,0.0,1.0,0.0
rt @user hoje é o dia oficial de chorar,0.0,0.0,0.0,0.0,0.0,0.0
"rt @user eu rindo sou igual o jimin me jogo em qualquer canto 
https://t.co/d361qkl7ri",0.0,0.0,0.0,0.0,0.0,0.0
rt @user meu namorado é lindo demais 😩😩😩😩😩😩😩😩😩😩,0.0,0.0,0.0,0.0,0.0,0.0
@user @user kkkkkkkk eu aposto nisso tbm mano,0.0,0.0,0.0,0.0,0.0,0.0
"@user fez cacá e saiu correndo, a narrativa de q não preservamos o nosso meio ambiente caiu.",0.0,0.0,0.0,0.0,0.0,0.0
"@user astronaut, engineer, test pilot, coach &amp; corporate trainer
 o cara é couch, não da para esperar nada bom.",0.0,0.0,1.0,0.0,0.0,0.0
